message,label
"Congratulations! You have won a lottery of 10,00,000. Click link now",1
Your bank account is blocked. Verify immediately,1
Claim your free iPhone by clicking this link,1
You have won cash prize. Send OTP to receive money,1
Urgent: Update your KYC to avoid account suspension,1
Your ATM card will be deactivated today,1
Get loan approved instantly without documents,1
Free recharge offer valid for today only,1
You are selected for Google job. Pay registration fee,1
Your Paytm account has suspicious activity,1
Click here to receive your refund,1
You have won a foreign trip,1
Earn money from home easily,1
Exclusive deal just for you. Act now,1
Your account is hacked. Reset password,1
Get rich quick with this investment,1
Limited offer ends tonight,1
Send your details to claim prize,1
You are eligible for cashback reward,1
Confirm your Aadhaar details now,1
Win big by participating today,1
Investment opportunity with guaranteed profit,1
Urgent payment required to avoid penalty,1
Your SIM card will be blocked,1
Click to activate your free subscription,1
Final warning from income tax department,1
You have received unknown money,1
Lottery department notice,1
Verify PAN card immediately,1
Free coupon waiting for you,1
Congratulations you are selected winner,1
Earn 5000 per day online,1
Bank security alert action required,1
Your account will be closed,1
Click link to secure account,1
Urgent loan disbursement message,1
Offer expires in 30 minutes,1
Suspicious login detected,1
Confirm details to continue service,1
Prize money transfer pending,1
Government fund released for you,1
Free gift voucher claim now,1
Low interest instant loan,1
Your UPI is blocked,1
Cash reward waiting,1
Win smartphone today,1
Unusual transaction detected,1
Activate premium membership free,1
Last chance to claim reward,1
Meeting scheduled at 10 AM tomorrow,0
Please find the attached report,0
Your order has been shipped,0
Let's meet for lunch today,0
Project deadline is next week,0
Thank you for your purchase,0
Reminder for doctor appointment,0
Your electricity bill is generated,0
Class will start at 9 AM,0
Happy birthday! Have a great day,0
Please submit assignment by Friday,0
Team meeting postponed to Monday,0
Your cab has arrived,0
Payment received successfully,0
Here is the invoice for last month,0
Welcome to the training program,0
Your password was changed successfully,0
Exam results will be announced soon,0
Let's discuss the project details,0
Thank you for contacting support,0
Your subscription is active,0
Reminder: Parent-teacher meeting,0
Package delivered successfully,0
Your OTP is valid for login,0
Meeting minutes attached,0
Your train ticket is confirmed,0
System update completed,0
Please review the document,0
Lunch break at 1 PM,0
New assignment uploaded,0
Payment successful via UPI,0
Your booking is confirmed,0
Monthly salary credited,0
Reminder to complete profile,0
Your feedback is valuable,0
New message from HR,0
Thank you for registering,0
Workshop starts tomorrow,0
Your request has been processed,0
Class cancelled today,0
Your service request is closed,0
Meeting link shared via email,0
Please call me when free,0
Notes uploaded in portal,0
Exam hall ticket available,0
Your attendance is updated,0
Welcome back to the app,0
Your profile is verified,0
Thank you for your response,0
